,name,acronym,SJ0612,SJ0613,SJ0602,SJ0601,SJ0603,SJ0604,SJ0605,SJ0608,SJ0606,SJ0610,SJ0619,SJ0615,SJ0511,SJ0512,SJ0514,SJ0517,SJ0519,SJ0516,SJ0513,SJ0520,SJ0518,SJ0503,SJ0502
20,left Secondary motor area,MOs-L,669.0251647293289,593.6549409262985,605.4029312761636,34.023400623635204,152.8764458514909,481.6676043444679,1147.031057795917,412.4002326712375,119.76847304732571,152.5713032450009,1196.9218739570322,490.6693112359229,7715.225662493206,6683.843652557,8973.786342961219,8677.950585969162,4078.078364435629,9282.5906607291,9532.044741534675,8288.89376269441,4145.362309166675,6053.724170155146,5235.789413458696
21,"left Secondary motor area, layer 1",MOs1-L,734.3389339202319,569.4347522679692,1380.2136453915937,94.47635407160878,321.2196038434698,789.3069944709861,3394.2777390090714,641.5803317408341,117.6660046164582,491.2770411723656,2020.076225240217,443.1799881904557,48.95592892801545,1401.685544044232,973.965322883676,1040.9576466799076,290.3000697836706,376.187664394224,1256.5355091523968,277.4169305920876,843.4161790756347,3227.655805464598,445.7566160287723
22,"left Secondary motor area, layer 2/3",MOs2/3-L,704.6546978349287,456.9738301630993,580.5513331416129,38.91376689536174,145.66369500020542,448.0341810114621,1307.8180847130357,452.76693644468185,162.49126987387535,84.1378743683497,1170.042315434863,500.0944907768785,3346.5839530011094,6533.831806417156,10003.467400681977,8892.84745901976,3572.704490366049,8023.072182736946,9690.579680374676,4694.367528039111,4438.272872930446,1061.1889404708106,1472.938663160922
23,"left Secondary motor area, layer 5",MOs5-L,707.4656975860497,646.8889472302442,188.804908043277,17.24447637865996,107.8885188818726,412.54093490486525,366.9978306227633,344.88952757319925,51.73342913597988,70.74656975860498,855.5913280181288,517.3342913597988,10497.906620054997,8483.84021223971,12723.770571085104,11132.414917577484,5606.665653369444,13663.373450691575,13259.233670945545,12351.466747730445,5739.757637727819,11177.515855798594,9950.50503654779
24,"left Secondary motor area, layer 6a",MOs6a-L,492.77990198010696,738.3289316357234,618.9181021456634,0.0,89.13766145032652,368.3235444834247,206.02572693707543,256.481007003298,173.22979489403076,84.9330547781413,1088.152206761533,478.48423929467725,16632.583073830265,8738.854507469747,8144.323124022758,11197.708489363658,5664.446108767919,11720.7615593835,10395.46953631072,14120.75104786682,3947.284743847478,7196.60478011221,7016.647614542683
25,"left Secondary motor area, layer 6b",MOs6b-L,106.40066500415628,478.8029925187032,2500.4156275976725,0.0,26.600166251039067,399.002493765586,106.40066500415628,266.0016625103907,425.60266001662507,186.20116375727343,1037.4064837905237,266.0016625103907,16651.704073150457,4575.22859517872,5293.433083956775,6969.243557772235,4814.630091438071,8166.251039068994,6277.63923524522,9363.25852036575,1941.812136325852,1729.0108063175394,3963.424771404821
26,left Somatosensory areas,SS-L,301.50895104698424,643.8191133799285,2696.780060658051,11.40033844754766,414.1922963337974,479.3542308287277,647.5392238207072,412.9322589264369,188.82560576017104,181.86539912903663,1345.0599314667154,886.6463223126937,13807.549911638002,8475.071603688235,16229.70181927276,12656.115728435689,6358.928780698177,13355.97650555251,11336.556554022698,11699.327323779924,6979.347199369981,3671.268990798165,4460.232413149765
27,left Primary somatosensory area,SSp-L,209.56925988398405,659.1516846998808,2597.029662237216,12.506685316986877,229.23437692845684,519.6034064261324,569.5478668696261,342.6996338503312,203.89188299666765,152.71321018636607,1253.1369564323036,820.9157855761715,15007.199572139714,8138.396346731394,15544.740198296788,11680.092154523389,6609.783190027564,12615.378286090428,11776.031595836592,10980.869708314478,7143.292055786399,2871.9298967375653,3810.918665405028
28,"left Primary somatosensory area, nose",SSp-n-L,170.2321441508575,402.0658035002743,496.124031007752,5.299055070843813,280.1875368708666,424.5867875513605,282.17468252243305,611.3784787986049,195.4026557373656,80.14820794651267,1371.1304995808366,827.3149729354902,4314.755591434575,4851.947299241366,15269.227186636446,11810.931371027003,5279.183614328148,11006.1373821426,7747.88089545751,9456.82615580464,8253.278272839238,2758.82054625806,3378.1476076629306
29,"left Primary somatosensory area, nose, layer 1",SSp-n1-L,458.55161787365176,300.7704160246533,788.9060092449922,14.791987673343606,350.07704160246533,1641.9106317411402,1528.5053929121725,1661.633281972265,108.47457627118644,330.3543913713405,1267.1802773497689,892.4499229583975,24.653312788906007,359.93836671802774,2228.659476117103,142.98921417565484,285.9784283513097,1015.7164869029276,123.26656394453003,448.69029275808936,147.91987673343604,5911.86440677966,1272.11093990755
30,"left Primary somatosensory area, nose, layer 2/3",SSp-n2/3-L,62.46340035135663,231.11458130001952,71.83291040406012,6.246340035135662,640.2498536014054,224.86824126488384,146.78899082568807,462.2291626000391,43.72438024594964,62.46340035135663,1002.5375756392738,977.5522154987312,1052.5082959203592,4575.444075736873,18948.27249658403,7726.722623462814,4931.485457739605,12189.732578567246,4244.388053874683,5599.8438414991215,6077.688854186999,705.8364239703299,3113.800507515128
31,"left Primary somatosensory area, nose, layer 4",SSp-n4-L,3.6481787607592775,383.05876987972414,175.11258051644532,0.0,215.24254688479735,94.85264777974122,43.77814512911133,572.7640654392065,259.0206920139087,80.2599327367041,1302.399817591062,1338.8816051986548,1441.0306104999145,4377.814512911133,22498.318417602462,17617.05523570655,5972.068631362937,12644.587584791656,11696.061106994242,13706.207604172603,18062.13304451918,2546.428775009976,4512.797127059226
32,"left Primary somatosensory area, nose, layer 5",SSp-n5-L,45.85285202535134,465.5828051804905,402.0942408376964,10.581427390465691,112.86855883163406,81.12427666023699,45.85285202535134,416.2028106916506,77.59713419674841,7.054284926977129,1883.494075502893,656.048498208873,3759.93386607881,4976.798015982365,12630.697161752549,10814.21879305594,4059.7409754753376,11914.687241664373,8175.9162303664925,9643.207495177736,6228.9335905208045,4497.10664094792,4546.48663543676
33,"left Primary somatosensory area, nose, layer 6a",SSp-n6a-L,295.77847683405184,544.3318187114063,874.9077634082878,0.0,119.30560410113014,422.5406811915026,106.87793700726242,377.8010796535788,251.03887529612803,22.369800768961905,1446.580449726203,484.6790166608412,10986.057710979068,7558.50712649035,16419.433764418038,17774.04947764962,8401.10295545458,13620.723134879025,11425.997126101984,13926.443745388173,8960.347974678629,1804.4972620295932,3084.546972697969
34,"left Primary somatosensory area, nose, layer 6b",SSp-n6b-L,411.214953271028,598.1308411214953,1943.92523364486,0.0,299.06542056074767,635.5140186915888,37.38317757009346,411.214953271028,2429.9065420560746,37.38317757009346,710.2803738317757,261.68224299065423,10878.504672897196,5046.728971962617,6691.588785046729,10542.056074766357,6168.22429906542,6841.121495327103,7177.5700934579445,11177.570093457944,6056.07476635514,1532.710280373832,2915.88785046729
35,"left Primary somatosensory area, barrel field",SSp-bfd-L,206.31112568110584,1551.3070775405188,2249.077371639174,7.947269864449378,484.14768014225615,785.8260441967545,979.1036473001634,255.584198840692,378.9258271369464,197.7280742275005,1418.1108346123472,1243.9066791836167,26630.665534180716,15018.750589836436,17382.904429112838,14098.456739533198,7763.846875977887,14617.254516284453,18314.006566431726,11829.034357041031,7997.17871919812,2124.464180164608,4778.852314890701
36,"left Primary somatosensory area, barrel field, layer 1",SSp-bfd1-L,546.0506706408346,970.4918032786884,579.4336810730254,52.459016393442624,307.6005961251863,910.8792846497764,1561.8479880774962,448.2861400894188,369.59761549925486,724.8882265275709,1867.064083457526,1392.548435171386,600.8941877794337,1766.9150521609538,181.2220566318927,1416.3934426229507,541.2816691505216,1919.5230998509687,867.9582712369597,355.29061102831594,326.6766020864381,748.7332339791357,598.5096870342772
37,"left Primary somatosensory area, barrel field, layer 2/3",SSp-bfd2/3-L,287.5159708197667,1216.0079132836004,899.4765692618389,3.9566418002720183,791.3283600544038,582.9452252400774,1035.3212710711782,362.69216502493504,367.96768742529775,156.94679141079007,1913.6957507315665,1510.1182871038204,16074.516753905122,15907.018917693606,10233.194576103531,14022.338540164035,5660.635535589168,16049.4580225034,14181.923092775009,9254.585170836252,6027.284342414376,87.04611960598442,1830.606272925854
38,"left Primary somatosensory area, barrel field, layer 4",SSp-bfd4-L,10.915913354937748,1001.1451962671476,1261.567700592091,0.0,319.6803196803197,605.0534831022636,533.320338198387,146.5851221948783,307.20499013181944,169.97636509831634,1129.0173241392754,1395.677493238469,44488.58458614557,23598.645257181844,32152.04307887235,20528.154772057213,10569.722959966864,19179.259764625614,32596.476694037672,19645.525206500817,14001.998001998005,1777.73446066129,4923.076923076924
39,"left Primary somatosensory area, barrel field, layer 5",SSp-bfd5-L,46.35881515974648,1733.48855258052,3132.531367222869,0.0,379.1488811279265,740.0853705859527,794.7225455956539,152.32182123916698,192.05794851894967,31.457767429827964,1034.794981244341,1003.337213814513,27619.91980338895,13685.784503945157,20512.120036217824,13362.92846979692,7273.366964170224,14838.132195058854,17308.394774285345,11493.674815677145,7622.713749838313,4779.924977363859,9669.124304747122
40,"left Primary somatosensory area, barrel field, layer 6a",SSp-bfd6a-L,241.97471402769415,2657.098133654425,4719.277543648404,0.0,450.0421432871764,1122.0228777844673,1180.5900060204697,231.18603251053585,525.5629139072848,38.53100541842264,1225.28597230584,1001.8061408789886,36567.46538229982,15860.903070439495,19510.55990367249,17174.039735099337,12040.168573148709,16514.388922335944,21682.167369054787,14805.153521974717,9594.220349187235,3253.5580975316075,6238.940397350993
41,"left Primary somatosensory area, barrel field, layer 6b",SSp-bfd6b-L,135.0210970464135,1863.2911392405065,5225.316455696202,0.0,918.1434599156116,1147.6793248945148,702.1097046413502,67.51054852320675,1404.2194092827003,621.0970464135021,1120.675105485232,445.5696202531645,32351.054852320674,10167.088607594937,15945.991561181434,10072.573839662447,12435.443037974685,13934.177215189871,14433.755274261604,12138.396624472573,8668.354430379746,2227.8481012658226,4712.236286919831
42,"left Primary somatosensory area, lower limb",SSp-ll-L,148.74825685636495,325.5461850056445,4521.097018394316,33.99960156716914,151.29822697390264,516.7939438209709,141.94833654293114,356.995816455276,164.04807756159107,238.8472010093632,1628.5809150674015,736.0913739292117,24782.309582309583,8881.545919383758,11489.31535958563,15322.770436283949,9791.035261305531,19219.124775881533,20029.165283219336,16259.459459459458,6482.874028819974,2480.2709343249885,6136.928082874028
43,"left Primary somatosensory area, lower limb, layer 1",SSp-ll1-L,355.07170522349,120.59039045326074,3276.038940646917,194.28451795247565,73.6941274992149,1319.794828849576,522.5583586307965,448.8642311315817,569.4546215848424,1078.6140479430544,2438.605673610384,475.6620956767507,3805.2967654140057,1179.1060399874384,6083.115251753376,1681.5660002093582,1413.5873547576675,763.739139537318,2652.9885899717365,529.2578247670888,549.3562231759656,20.09839840887679,274.6781115879828
44,"left Primary somatosensory area, lower limb, layer 2/3",SSp-ll2/3-L,40.21655065738592,275.3286929621037,2013.9211136890951,34.02938901778809,163.9597834493426,726.9914926527456,68.05877803557618,365.04253673627227,117.55607115235888,238.20572312451665,2273.7819025522044,575.4060324825987,16417.633410672854,8850.734725444703,18375.87006960557,15662.79969064192,11956.689868522815,19866.97602474865,24674.400618716165,14877.030162412992,10051.044083526684,785.769528228925,1624.1299303944315
45,"left Primary somatosensory area, lower limb, layer 4",SSp-ll4-L,0.0,248.7425697302241,1748.5139460448104,0.0,29.26383173296754,343.8500228623686,29.26383173296754,446.2734339277549,102.42341106538638,117.05532693187016,1221.7649748513948,1046.1819844535894,19072.70233196159,6430.727023319617,13373.571101966165,19043.438500228625,10520.34750800183,32212.162780064016,26249.65706447188,26747.14220393233,8669.410150891634,4118.884316415181,5589.3918609968
46,"left Primary somatosensory area, lower limb, layer 5",SSp-ll5-L,89.92805755395683,467.6258992805755,5266.187050359712,0.0,284.1726618705036,115.10791366906474,43.16546762589928,276.978417266187,35.97122302158273,46.76258992805755,1205.0359712230215,776.978417266187,24334.53237410072,12305.755395683453,12323.741007194243,20158.273381294963,12834.532374100718,23147.482014388486,21654.676258992804,20589.92805755396,7061.15107913669,5384.892086330935,16294.964028776976
47,"left Primary somatosensory area, lower limb, layer 6a",SSp-ll6a-L,314.5242465510095,390.313221623542,8734.679377109362,0.0,109.894013855172,310.7347977973829,185.68298892770443,314.5242465510095,87.15732133341228,30.315590029012967,1102.7295873053467,882.9415595950027,49531.884658653566,11311.504529575464,5180.176446207591,16184.7356267393,8397.418438036591,18712.297945408256,20300.07697317781,17143.46616140683,4153.235833974777,2167.564687074427,4914.915033453727
48,"left Primary somatosensory area, lower limb, layer 6b",SSp-ll6b-L,39.38461538461539,354.46153846153845,6734.769230769231,0.0,78.76923076923077,590.7692307692307,78.76923076923077,551.3846153846154,905.8461538461538,236.30769230769232,945.2307692307692,669.5384615384615,33004.307692307695,5001.846153846154,1890.4615384615383,9255.384615384615,8704.0,11776.0,8940.307692307691,13272.615384615385,2048.0,1142.1538461538462,2481.230769230769
49,"left Primary somatosensory area, mouth",SSp-m-L,193.5383237479936,176.79291137711894,523.9381909117897,8.050679024458969,64.40543219567175,285.6380917878042,548.412255146145,238.62212628496383,92.74382236176731,59.575024780996365,993.4537916182368,595.4282206489853,3957.069754102072,3294.981911130567,20312.50723303193,10894.822910219831,4322.57058181251,9301.110490537936,4175.404169245399,10266.547919151057,7345.761569077341,3251.18621723751,4338.993967022406
